country,adm1_code,admin_level_1,year,farmer,nextserv,nremit,nborrow,nsocben,telephone,dsmall,vpfood,foodprod,totvp,totlivstvp,yield_vha,yieldwork,yield_total,yield_weha,yield_maha,yield_riha,foodexp,pcexp2,foodownp,foodcal,totincome,qchem_ha,femhead,agehead,snghead,msize,fsize,dextens,distance,sh_agin,shagwge,shoffarm,shtrans,shother,landop,TLU_total,dmachinery,shirrland,chemexp_ha,qfert_ha,fertexp_ha,qseed_ha,seedexp_ha,dtchadmem,shagprod_sold,shinput_vp,shfert_purch,shseed_purch,shchem_purch,dborrow,amloan,famldays,wfamldays,mfamldays,hlabdays,hlabwage,offlabday,offlabwage,hhsize,eduhead,dsocben,shsocben,dremit,remitt,dphone,TLU_agg_cattle,TLU_agg_poultry,TLU_agg_other,TLU_agg_equins,TLU_agg_pigs,TLU_agg_camels,TLU_agg_goats,var_type
Viet Nam,3335,Binh Phuoc,2002,115487.74,0.0,81308.678,6320.8,10290.784,7027.628,0.658,961.155,2.242,2087.399,558.765,1792.302,5.448,4017.212,,,,397.976,777.289,0.101,,5820.859,,0.147,44.972,0.162,2.368,2.238,,0.154,0.58,0.122,0.177,0.075,0.047,0.963,0.595,0.325,,103.775,,327.763,,42.232,,0.896,0.412,,,,0.055,1288.875,1.181,0.549,0.624,0.261,2.859,0.388,7.615,4.606,6.039,0.089,0.027,0.704,196.029,0.061,0.069,0.077,0.0,0.0,0.449,0.0,0.0,1
Viet Nam,3335,Binh Phuoc,2008,134012.0,2032.0,134012.0,54084.0,17232.0,2990.0,0.519,911.509,1.85,4124.073,740.374,1214.0,12.005,,,,,649.725,1357.061,0.09,,8769.366,,0.154,48.866,0.173,2.2,2.168,0.015,,0.586,0.089,0.194,0.115,0.016,1.56,2.152,0.122,0.314,92.892,363.124,416.862,,13.624,,0.916,0.399,,,,0.404,1862.596,1.232,0.62,0.612,0.253,8.934,0.709,10.654,4.368,6.954,0.129,0.017,1.0,359.527,0.024,0.061,0.093,0.0,0.0,1.999,0.0,0.0,1
Viet Nam,3336,Binh Thuan,2002,132529.206,0.0,124352.929,8709.781,13051.187,13820.482,0.703,1352.19,2.782,1607.971,961.004,2497.003,5.297,5488.17,,,,428.767,786.323,0.193,,7479.69,,0.204,45.706,0.175,2.419,2.706,,0.015,0.567,0.047,0.262,0.08,0.044,0.708,1.558,0.121,,135.687,,515.031,,218.104,,0.661,0.52,,,,0.066,1173.188,1.156,0.566,0.582,0.158,,0.724,7.513,5.125,5.427,0.098,0.029,0.938,428.664,0.104,0.046,0.432,0.0,0.0,1.079,0.0,0.0,1
Viet Nam,3336,Binh Thuan,2008,143143.0,4925.0,143143.0,77562.0,27684.0,0.0,0.672,3778.55,5.534,4708.251,999.54,4552.292,15.271,,,,,598.95,962.002,0.175,,8468.771,,0.288,48.63,0.204,2.315,2.332,0.034,,0.675,0.072,0.136,0.094,0.023,1.245,0.918,0.052,0.644,294.823,962.604,974.182,,252.016,,0.808,0.452,,,,0.542,1696.03,1.329,0.594,0.735,0.193,8.028,0.659,10.492,4.646,5.681,0.193,0.019,1.0,324.251,0.0,0.334,0.086,0.0,0.0,0.498,0.0,0.0,1
Viet Nam,3339,Ca Mau,2002,104778.758,0.0,103805.278,3293.21,5339.238,1610.55,0.398,1372.493,3.026,1607.415,581.841,1196.685,5.049,2272.395,,,,404.937,762.843,0.255,,6515.711,,0.144,48.826,0.155,2.622,2.51,,9.895,0.676,0.092,0.125,0.07,0.037,0.947,0.641,0.008,,17.789,,152.745,,94.587,,0.555,0.441,,,,0.031,1295.305,1.159,0.501,0.645,0.231,1.926,0.331,7.695,5.132,5.258,0.051,0.144,0.991,243.996,0.015,0.0,0.072,0.0,0.0,0.569,0.0,0.0,1
Viet Nam,3339,Ca Mau,2008,129804.0,0.0,129804.0,66377.0,24201.0,0.0,0.628,1683.485,2.502,1887.633,236.295,1528.909,6.763,,,,,444.915,800.509,0.342,,7885.708,,0.131,52.753,0.157,2.0,2.5,0.0,,0.734,0.067,0.108,0.069,0.022,0.842,0.167,0.0,0.494,21.189,86.182,162.657,,75.464,,0.408,0.231,,,,0.511,1315.442,1.129,0.465,0.663,0.133,9.308,0.444,8.874,4.501,5.114,0.186,0.012,1.0,231.541,0.0,0.0,0.049,0.0,0.0,0.118,0.0,0.0,1
Viet Nam,73933,Can Tho city,2002,241353.273,0.0,174319.4,7188.407,20454.664,10190.47,0.679,2194.446,4.979,2361.098,575.57,3177.055,7.959,3898.945,,,,400.42,764.451,0.273,,7015.48,,0.183,50.828,0.155,2.452,2.547,,1.236,0.605,0.062,0.245,0.057,0.031,0.722,0.756,0.279,,228.042,,631.715,,294.048,,0.762,0.522,,,,0.03,491.715,1.4,0.646,0.748,0.175,3.637,0.712,6.749,4.999,4.737,0.085,0.041,0.722,257.422,0.042,0.0,0.172,0.0,0.0,0.584,0.0,0.0,1
Viet Nam,73933,Can Tho city,2008,110392.0,0.0,110392.0,38642.0,14406.0,11156.0,0.821,5205.749,7.776,5318.783,382.959,6394.067,22.97,,,,,680.576,1107.542,0.195,,9806.576,,0.179,54.006,0.201,2.086,2.257,0.0,,0.582,0.033,0.28,0.089,0.016,0.711,0.315,0.044,0.801,276.018,785.993,1083.005,,266.294,,0.785,0.393,,,,0.35,1427.538,0.924,0.369,0.555,0.11,9.612,1.001,9.885,4.343,5.636,0.13,0.018,1.0,519.22,0.123,0.0,0.05,0.0,0.0,0.265,0.0,0.0,1
Viet Nam,3338,Cao Bang,2002,98591.236,0.0,95026.633,5443.032,11049.714,5140.11,0.557,1142.275,2.031,1493.974,829.132,2193.676,2.388,2350.72,,,,327.125,587.136,0.532,,6722.211,,0.13,43.43,0.107,2.388,2.581,,1.095,0.755,0.004,0.16,0.074,0.007,1.403,0.992,0.334,,12.354,,249.738,,124.5,,0.195,0.247,,,,0.055,730.543,2.433,1.312,1.121,0.006,,0.289,5.927,4.969,6.337,0.112,0.096,0.964,199.941,0.052,0.0,0.195,0.0,0.0,0.797,0.0,0.0,1
Viet Nam,3338,Cao Bang,2008,106563.0,14491.0,67294.0,59126.0,22469.0,0.0,0.824,1414.857,1.538,1863.274,1466.784,2709.098,3.799,,,,,404.151,610.729,0.552,,5300.435,,0.109,42.069,0.09,2.096,2.352,0.136,,0.754,0.01,0.16,0.06,0.015,0.738,1.002,0.447,0.532,13.785,397.981,310.441,,136.887,,0.16,0.266,,,,0.555,748.713,1.969,1.122,0.847,0.012,8.743,0.34,9.467,4.448,6.276,0.211,0.013,0.631,137.565,0.0,0.032,0.171,0.0,0.0,0.798,0.0,0.0,1
Viet Nam,3340,Da Nang City,2002,32813.233,0.0,20634.05,282.615,2376.175,1650.141,0.763,772.413,1.561,943.245,765.458,3087.823,4.404,6030.768,,,,385.488,819.641,0.255,,6406.469,,0.34,51.82,0.295,2.294,2.556,,0.0,0.439,0.009,0.457,0.066,0.029,0.208,0.961,0.057,,167.477,,797.734,,234.05,,0.379,0.519,,,,0.009,1426.82,0.842,0.605,0.225,0.01,,1.269,7.941,4.849,6.176,0.072,0.028,0.629,151.31,0.05,0.004,0.018,0.0,0.0,0.94,0.0,0.0,1
Viet Nam,3340,Da Nang City,2008,33618.0,0.0,32123.0,10036.0,20800.0,0.0,0.85,1071.222,1.3,1151.491,727.309,5560.827,5.79,,,,,679.162,1163.634,0.256,,6787.628,,0.544,50.677,0.303,1.716,2.366,0.0,,0.36,0.003,0.547,0.078,0.012,0.183,1.802,0.0,0.848,121.933,907.707,1297.25,,288.461,,0.174,0.471,,,,0.299,273.068,0.729,0.505,0.224,0.0,,1.215,12.84,4.082,6.113,0.619,0.023,0.956,222.98,0.0,0.0,0.058,0.0,0.0,1.744,0.0,0.0,1
Viet Nam,73934,Dak Lak,2002,343288.777,0.0,282480.359,10688.309,81998.463,6928.688,0.621,933.224,1.839,2526.706,611.365,1135.128,6.032,3090.055,,,,320.159,563.642,0.322,,5342.723,,0.156,43.31,0.117,2.659,2.574,,0.517,0.762,0.04,0.115,0.047,0.036,1.056,0.762,0.366,,59.685,,461.859,,88.148,,0.727,0.459,,,,0.031,849.558,1.558,0.77,0.759,0.099,,0.228,7.981,5.233,6.367,0.239,0.029,0.823,137.751,0.02,0.068,0.125,0.0,0.0,0.57,0.0,0.0,1
Viet Nam,73934,Dak Lak,2008,324793.0,7895.0,317018.0,203217.0,67126.0,2618.0,0.727,1555.25,2.359,5039.465,920.166,1977.263,13.474,,,,,525.824,905.255,0.295,,8648.545,,0.105,43.584,0.077,2.522,2.465,0.024,,0.699,0.067,0.162,0.054,0.018,1.037,0.714,0.334,0.672,91.673,1084.268,1052.432,,89.245,,0.786,0.41,,,,0.626,2262.273,1.395,0.674,0.721,0.143,7.707,0.627,10.299,4.988,6.883,0.207,0.005,0.976,274.024,0.009,0.205,0.108,0.0,0.0,0.402,0.0,0.0,1
Viet Nam,73935,Dak Nong,2002,201648.313,0.0,163784.156,8244.658,20503.99,9158.8,0.756,1242.906,2.524,1572.198,839.192,3074.885,4.882,4237.635,,,,377.542,699.157,0.363,,5952.992,,0.19,47.307,0.159,2.344,2.355,,0.686,0.612,0.036,0.239,0.083,0.03,0.648,1.041,0.255,,130.924,,499.993,,209.937,,0.463,0.424,,,,0.038,825.33,1.322,0.711,0.598,0.106,2.567,0.587,6.987,4.699,6.254,0.101,0.083,0.778,230.602,0.052,0.074,0.145,0.0,0.0,0.823,0.0,0.0,1
Viet Nam,73935,Dak Nong,2008,78577.0,0.0,50331.0,42053.0,24552.0,0.0,0.435,1874.443,2.488,7785.022,867.46,1295.144,21.899,,,,,562.458,1100.593,0.212,,10933.286,,0.146,43.544,0.098,2.38,2.185,0.0,,0.772,0.034,0.12,0.061,0.014,1.943,0.812,0.228,0.646,151.579,674.394,803.247,,55.609,,0.871,0.374,,,,0.535,2305.982,1.574,0.681,0.892,0.08,9.306,0.413,17.489,4.565,8.149,0.312,0.008,0.641,160.061,0.0,0.056,0.165,0.0,0.0,0.592,0.0,0.0,1
Viet Nam,73936,Dien Bien,2002,201648.313,0.0,163784.156,8244.658,20503.99,9158.8,0.756,1242.906,2.524,1572.198,839.192,3074.885,4.882,4237.635,,,,377.542,699.157,0.363,,5952.992,,0.19,47.307,0.159,2.344,2.355,,0.686,0.612,0.036,0.239,0.083,0.03,0.648,1.041,0.255,,130.924,,499.993,,209.937,,0.463,0.424,,,,0.038,825.33,1.322,0.711,0.598,0.106,2.567,0.587,6.987,4.699,6.254,0.101,0.083,0.778,230.602,0.052,0.074,0.145,0.0,0.0,0.823,0.0,0.0,1
Viet Nam,73936,Dien Bien,2008,82090.0,20622.0,62118.0,25206.0,2994.0,0.0,0.505,1944.964,2.31,2319.921,1136.071,2071.117,4.548,,,,,407.625,524.972,0.607,,4578.857,,0.11,42.445,0.109,2.779,2.516,0.251,,0.804,0.0,0.11,0.079,0.007,1.608,1.023,0.026,0.219,59.956,241.852,159.69,,128.673,,0.361,0.232,,,,0.307,441.698,2.11,1.105,1.005,0.0,,0.31,6.763,5.295,4.173,0.036,0.006,0.757,105.082,0.0,0.204,0.157,0.0,0.0,0.663,0.0,0.0,1
Viet Nam,3342,Dong Nai,2002,230368.292,0.0,212932.432,15616.103,8192.364,19657.627,0.592,1269.869,2.733,2102.73,1157.942,1642.298,4.689,2979.784,,,,446.426,931.576,0.131,,8354.264,,0.167,49.008,0.13,2.732,2.315,,0.15,0.502,0.046,0.277,0.105,0.069,0.842,2.375,0.219,,92.633,,422.575,,109.142,,0.758,0.503,,,,0.068,1085.25,1.543,0.697,0.811,0.112,2.708,0.786,9.706,5.047,6.308,0.036,0.057,0.924,579.464,0.085,0.031,0.366,0.0,0.0,1.977,0.0,0.0,1
Viet Nam,3342,Dong Nai,2008,255681.0,2964.0,253905.0,68082.0,12571.0,4820.0,0.775,1804.217,2.631,2873.078,2375.645,3319.241,7.943,,,,,587.636,1068.028,0.152,,10465.969,,0.169,53.392,0.134,2.29,2.453,0.012,,0.506,0.057,0.337,0.088,0.012,0.712,3.512,0.032,0.483,175.231,676.295,781.345,,120.112,,0.781,0.357,,,,0.266,725.718,1.403,0.665,0.738,0.123,9.08,1.197,11.066,4.742,6.71,0.049,0.002,0.993,489.014,0.027,0.052,0.268,0.0,0.0,3.192,0.0,0.0,1
Viet Nam,3343,Dong Thap,2002,255674.164,0.0,231675.143,13053.654,27904.683,11090.851,0.74,2152.275,4.967,2198.421,352.884,3429.421,8.455,4023.797,,,,351.437,665.527,0.225,,5404.536,,0.177,50.612,0.178,2.587,2.486,,2.69,0.641,0.072,0.173,0.073,0.041,0.727,0.472,0.422,,349.89,,689.61,,286.64,,0.773,0.595,,,,0.051,1084.253,1.258,0.549,0.685,0.222,6.398,0.466,7.392,5.073,4.195,0.109,0.039,0.906,245.62,0.043,0.004,0.071,0.0,0.0,0.397,0.0,0.0,1
Viet Nam,3343,Dong Thap,2008,237335.0,0.0,230774.0,111750.0,13138.0,13200.0,0.775,4981.579,8.535,5022.468,534.573,5679.918,19.416,,,,,563.156,948.23,0.26,,9275.63,,0.209,49.8,0.232,2.292,2.092,0.0,,0.662,0.06,0.139,0.089,0.05,0.827,0.493,0.174,0.887,319.575,781.407,920.908,,180.868,,0.792,0.4,,,,0.471,1709.215,1.038,0.415,0.623,0.119,8.739,0.68,7.937,4.384,5.629,0.055,0.006,0.972,459.527,0.074,0.0,0.047,0.0,0.0,0.447,0.0,0.0,1
Viet Nam,3344,Gia Lai,2002,182442.39,0.0,180073.148,9759.879,62242.722,8561.791,0.509,992.673,2.127,1899.393,518.52,1196.551,4.363,2410.955,,,,317.486,567.86,0.341,,5156.506,,0.214,46.239,0.189,2.677,2.698,,0.177,0.723,0.041,0.15,0.061,0.025,1.229,0.62,0.098,,37.909,,267.681,,86.849,,0.635,0.345,,,,0.053,1486.445,1.589,0.809,0.774,0.125,4.848,0.328,6.471,5.375,5.032,0.341,0.021,0.987,175.551,0.047,0.151,0.058,0.0,0.0,0.412,0.0,0.0,1
Viet Nam,3344,Gia Lai,2008,212149.0,5390.0,212149.0,95593.0,97225.0,0.0,0.565,2018.797,2.692,4368.961,354.245,3052.35,17.134,,,,,464.846,807.856,0.309,,7437.305,,0.15,45.502,0.11,2.646,2.47,0.025,,0.656,0.107,0.143,0.064,0.03,1.392,0.371,0.075,0.457,87.544,660.959,672.769,,148.666,,0.717,0.322,,,,0.451,1874.798,1.306,0.638,0.667,0.198,9.538,0.494,11.535,5.117,5.592,0.458,0.013,1.0,162.246,0.0,0.28,0.03,0.0,0.0,0.062,0.0,0.0,1
Viet Nam,3345,Ha Giang,2002,115098.101,0.0,102671.803,3127.473,6351.541,1681.057,0.383,1240.327,2.443,1883.493,858.237,2020.613,3.735,1823.487,,,,293.474,480.903,0.638,,5655.619,,0.074,39.906,0.071,2.473,2.775,,0.984,0.865,0.003,0.081,0.046,0.006,1.575,0.96,0.114,,33.949,,241.167,,146.052,,0.241,0.263,,,,0.027,409.559,1.921,1.037,0.875,0.008,,0.124,4.791,5.248,3.883,0.055,0.118,0.892,150.113,0.015,0.074,0.193,0.0,0.0,0.693,0.0,0.0,1
Viet Nam,3345,Ha Giang,2008,126321.0,5429.0,126321.0,48997.0,9086.0,0.0,0.62,1605.272,2.1,2189.48,1305.1,1467.118,5.201,,,,,401.762,484.855,0.573,,5015.525,,0.06,42.769,0.081,2.197,2.474,0.043,,0.773,0.02,0.16,0.044,0.002,1.392,0.88,0.181,0.259,24.121,317.857,259.656,,59.413,,0.326,0.272,,,,0.388,556.927,1.55,0.812,0.738,0.011,7.476,0.315,8.317,4.671,4.381,0.072,0.015,1.0,58.833,0.0,0.196,0.144,0.0,0.0,0.541,0.0,0.0,1
Viet Nam,3346,Ha Nam,2002,179067.876,0.0,168208.738,8552.561,11227.78,3794.564,0.972,1184.074,2.233,1204.952,1081.366,5213.549,5.291,5482.38,,,,385.241,621.655,0.529,,4636.098,,0.184,49.71,0.146,1.906,1.983,,0.182,0.594,0.006,0.236,0.138,0.027,0.232,1.2,0.268,,157.064,,646.556,,267.328,,0.254,0.418,,,,0.048,651.312,0.87,0.514,0.324,0.03,,0.613,5.796,3.89,7.611,0.063,0.234,0.939,226.359,0.021,0.01,0.14,0.0,0.0,1.049,0.0,0.0,1
Viet Nam,3346,Ha Nam,2008,204276.0,1619.0,179989.0,29136.0,30750.0,2819.0,0.955,1337.334,2.109,1402.349,1315.787,6231.107,10.966,,,,,495.706,783.553,0.415,,6015.338,,0.233,50.755,0.194,1.785,1.95,0.008,,0.549,0.013,0.308,0.114,0.016,0.219,1.854,0.038,0.905,252.828,1676.41,1050.782,,212.797,,0.362,0.404,,,,0.143,379.279,0.668,0.42,0.248,0.018,7.264,0.991,7.027,3.735,8.267,0.151,0.026,0.881,217.838,0.022,0.067,0.183,0.0,0.0,1.604,0.0,0.0,1
Viet Nam,3347,Ha Noi City,2002,198431.633,0.0,154682.713,5088.32,33477.388,36959.601,0.894,811.191,1.422,873.129,1016.87,3683.853,2.44,4425.57,,,,423.384,827.977,0.364,,6395.636,,0.184,47.09,0.095,2.259,2.504,,0.058,0.418,0.007,0.437,0.102,0.036,0.199,1.787,0.511,,127.359,,461.425,,298.515,,0.229,0.509,,,,0.026,802.511,1.255,0.816,0.414,0.036,,1.182,7.626,4.763,8.57,0.169,0.054,0.78,248.884,0.186,0.081,0.301,0.0,0.0,1.404,0.0,0.0,1
Viet Nam,3347,Ha Noi City,2008,209407.0,14809.0,195509.0,16539.0,29981.0,3237.0,0.94,897.52,1.035,923.593,766.957,5625.174,6.508,,,,,632.055,1141.611,0.262,,7589.175,,0.385,47.148,0.272,1.981,2.319,0.071,,0.351,0.008,0.518,0.097,0.026,0.172,1.064,0.152,0.92,183.657,1369.858,904.591,,196.113,,0.303,0.441,,,,0.079,143.549,0.955,0.592,0.364,0.019,9.078,1.537,8.249,4.3,7.862,0.143,0.013,0.934,209.674,0.029,0.068,0.055,0.0,0.0,0.94,0.0,0.0,1
Viet Nam,3348,Ha Tay,2002,495931.482,0.0,340600.822,24780.348,41440.277,13094.495,0.948,1059.944,1.942,1105.997,942.17,5488.095,4.374,5917.439,,,,371.635,646.737,0.439,,5452.911,,0.205,46.305,0.156,2.093,2.248,,0.1,0.5,0.016,0.37,0.095,0.02,0.219,1.382,0.228,,124.381,,632.064,,303.524,,0.211,0.43,,,,0.05,630.947,0.784,0.511,0.262,0.067,1.126,0.863,5.891,4.341,7.445,0.084,0.093,0.687,195.713,0.026,0.023,0.146,0.0,0.0,1.213,0.0,0.0,1
Viet Nam,3348,Ha Tay,2008,538501.0,16713.0,278193.0,57303.0,66712.0,0.0,0.949,1179.515,1.616,1240.851,1271.064,6834.853,8.495,,,,,537.252,789.36,0.342,,6674.665,,0.213,50.801,0.176,2.028,2.09,0.031,,0.469,0.003,0.4,0.112,0.016,0.179,2.778,0.047,0.953,162.857,1437.088,1098.653,,224.463,,0.285,0.379,,,,0.106,268.413,0.844,0.501,0.343,0.001,4.926,1.145,7.915,4.119,8.098,0.124,0.021,0.517,291.155,0.0,0.109,0.166,0.0,0.0,2.503,0.0,0.0,1
Viet Nam,3349,Ha Tinh,2002,279200.403,0.0,196840.847,28743.898,37408.736,9370.078,0.91,888.473,1.833,1169.438,654.696,2816.938,2.988,6502.268,,,,299.079,561.669,0.486,,4899.576,,0.144,47.926,0.098,2.164,2.126,,0.398,0.675,0.005,0.161,0.132,0.027,0.364,0.79,0.227,,64.015,,476.624,,197.275,,0.25,0.345,,,,0.103,771.865,1.484,0.904,0.575,0.013,,0.336,6.025,4.29,8.595,0.134,0.098,0.705,260.279,0.034,0.038,0.126,0.0,0.0,0.625,0.0,0.0,1
Viet Nam,3349,Ha Tinh,2008,319662.0,34138.0,238777.0,144571.0,129179.0,0.0,0.967,1015.368,1.477,1387.078,627.789,3391.336,4.446,,,,,457.023,807.363,0.404,,4649.287,,0.233,52.546,0.193,1.931,2.01,0.107,,0.544,0.027,0.176,0.234,0.019,0.323,0.655,0.101,0.647,62.313,945.478,649.709,,198.956,,0.301,0.352,,,,0.452,1102.0,1.121,0.676,0.445,0.032,6.286,0.484,7.716,3.941,8.156,0.404,0.049,0.747,550.501,0.0,0.168,0.054,0.0,0.0,0.432,0.0,0.0,1
Viet Nam,3350,Hai Duong,2002,373262.098,0.0,351167.716,4555.101,29110.857,15550.552,0.954,1273.695,2.245,1281.045,992.532,5725.966,5.327,6049.854,,,,373.682,688.842,0.436,,4830.332,,0.228,47.706,0.176,1.833,1.904,,0.031,0.606,0.008,0.238,0.126,0.022,0.229,1.24,0.401,,247.484,,742.493,,296.069,,0.311,0.408,,,,0.012,629.481,1.028,0.678,0.348,0.025,3.057,0.521,6.874,3.738,7.973,0.078,0.189,0.941,246.187,0.042,0.013,0.211,0.0,0.0,1.016,0.0,0.0,1
Viet Nam,3350,Hai Duong,2008,418770.0,7947.0,414107.0,103257.0,72550.0,4890.0,0.987,1521.888,1.997,1563.184,1179.644,7156.499,9.644,,,,,536.665,906.962,0.396,,7148.385,,0.164,50.235,0.131,1.72,2.026,0.019,,0.494,0.016,0.331,0.138,0.022,0.234,0.972,0.101,0.88,363.367,1579.36,1118.143,,215.446,,0.416,0.394,,,,0.247,685.932,0.783,0.468,0.314,0.002,8.109,0.99,9.566,3.745,8.709,0.173,0.022,0.989,394.157,0.017,0.051,0.216,0.0,0.0,0.704,0.0,0.0,1
Viet Nam,3351,Hai Phong City,2002,290358.367,0.0,277641.652,10479.661,33762.604,19327.635,0.899,996.497,1.737,1033.0,878.525,4826.21,3.705,5723.528,,,,426.359,749.953,0.421,,5187.519,,0.248,46.601,0.147,1.924,2.085,,0.066,0.462,0.012,0.382,0.119,0.025,0.185,0.93,0.191,,160.257,,594.864,,230.191,,0.226,0.373,,,,0.036,396.378,1.034,0.659,0.356,0.045,0.95,0.919,6.836,4.009,7.887,0.116,0.148,0.956,223.493,0.067,0.016,0.072,0.0,0.0,0.841,0.0,0.0,1
Viet Nam,3351,Hai Phong City,2008,254373.0,0.0,254373.0,86494.0,64476.0,9600.0,0.967,1187.889,1.651,1294.8,864.864,6311.771,6.041,,,,,616.137,987.812,0.347,,6168.709,,0.195,49.9,0.141,1.845,2.052,0.0,,0.434,0.013,0.405,0.115,0.033,0.194,0.5,0.059,0.797,231.865,1301.653,873.092,,226.899,,0.322,0.342,,,,0.34,574.678,0.94,0.59,0.35,0.018,7.913,1.219,8.811,3.897,8.176,0.253,0.021,1.0,361.599,0.055,0.0,0.134,0.0,0.0,0.367,0.0,0.0,1
Viet Nam,73937,Hau Giang,2002,201648.313,0.0,163784.156,8244.658,20503.99,9158.8,0.756,1242.906,2.524,1572.198,839.192,3074.885,4.882,4237.635,,,,377.542,699.157,0.363,,5952.992,,0.19,47.307,0.159,2.344,2.355,,0.686,0.612,0.036,0.239,0.083,0.03,0.648,1.041,0.255,,130.924,,499.993,,209.937,,0.463,0.424,,,,0.038,825.33,1.322,0.711,0.598,0.106,2.567,0.587,6.987,4.699,6.254,0.101,0.083,0.778,230.602,0.052,0.074,0.145,0.0,0.0,0.823,0.0,0.0,1
Viet Nam,73937,Hau Giang,2008,133863.0,0.0,133863.0,68797.0,8899.0,0.0,0.753,3395.275,4.546,3769.769,674.461,3896.763,10.554,,,,,536.289,891.205,0.277,,8760.605,,0.142,48.057,0.116,2.4,2.019,0.0,,0.522,0.111,0.228,0.095,0.044,0.742,0.342,0.016,0.729,213.744,590.347,951.244,,201.386,,0.64,0.402,,,,0.514,1126.019,1.139,0.571,0.567,0.271,7.472,0.748,8.972,4.419,5.554,0.066,0.006,1.0,507.277,0.0,0.0,0.072,0.0,0.0,0.27,0.0,0.0,1
Viet Nam,3352,Ho Chi Minh City,2002,95845.929,0.0,65702.738,1901.54,15832.881,7067.428,0.758,685.716,1.414,936.497,1581.152,1504.944,2.68,5452.153,,,,550.067,1534.948,0.168,,9776.548,,0.345,50.661,0.212,2.44,1.991,,0.0,0.4,0.022,0.464,0.072,0.042,0.433,0.79,0.318,,110.038,,309.618,,166.657,,0.454,0.526,,,,0.02,734.401,1.22,0.388,0.779,0.074,,1.288,10.133,4.432,5.663,0.165,0.027,0.686,372.019,0.074,0.209,0.089,0.0,0.0,0.493,0.0,0.0,1
Viet Nam,3352,Ho Chi Minh City,2008,96620.0,0.0,54137.0,16393.0,0.0,0.0,0.511,1613.257,2.117,2169.676,5166.783,3600.153,4.97,,,,,852.255,1347.287,0.053,,13059.738,,0.217,48.399,0.107,2.428,2.111,0.0,,0.473,0.058,0.395,0.06,0.014,0.323,3.518,0.0,0.871,113.705,635.948,600.63,,177.432,,0.803,0.264,,,,0.17,314.558,1.379,0.48,0.899,0.118,7.563,1.675,10.007,4.539,5.566,0.0,0.0,0.56,325.551,0.0,0.313,0.003,0.0,0.0,3.202,0.0,0.0,1
Viet Nam,3353,Hoa Binh,2002,140417.249,0.0,79518.096,10535.782,16653.651,4728.368,0.758,1032.644,1.971,1348.581,664.961,2502.097,2.343,3328.281,,,,312.76,525.4,0.556,,4846.329,,0.094,42.164,0.086,2.361,2.261,,0.0,0.771,0.013,0.131,0.051,0.034,0.718,0.805,0.103,,34.896,,235.355,,164.875,,0.287,0.22,,,,0.075,699.115,2.079,1.113,0.966,0.081,1.588,0.263,5.216,4.622,7.53,0.119,0.031,0.566,140.831,0.034,0.042,0.127,0.0,0.0,0.636,0.0,0.0,1
Viet Nam,3353,Hoa Binh,2008,168136.0,8792.0,151047.0,79056.0,14452.0,0.0,0.758,1329.434,1.595,1799.587,1184.924,3151.467,4.543,,,,,464.89,645.442,0.503,,5825.897,,0.158,43.313,0.095,2.226,2.261,0.052,,0.646,0.046,0.212,0.088,0.009,0.872,1.454,0.103,0.396,27.487,594.607,451.066,,193.401,,0.321,0.284,,,,0.47,845.312,1.708,0.919,0.789,0.078,6.511,0.539,6.614,4.487,8.218,0.086,0.005,0.898,255.937,0.0,0.438,0.127,0.0,0.0,0.889,0.0,0.0,1
Viet Nam,3354,Hung Yen,2002,246492.237,0.0,181076.104,8460.872,25811.535,11105.409,0.946,1259.423,2.131,1324.376,902.418,5960.611,6.338,6725.726,,,,377.239,650.632,0.43,,4801.845,,0.157,47.274,0.147,1.982,2.008,,0.167,0.562,0.001,0.292,0.113,0.032,0.207,1.277,0.44,,294.593,,842.353,,304.665,,0.357,0.434,,,,0.034,693.017,0.898,0.542,0.336,0.007,0.999,0.641,6.011,3.99,8.05,0.105,0.1,0.735,209.912,0.045,0.024,0.161,0.0,0.0,1.092,0.0,0.0,1
Viet Nam,3354,Hung Yen,2008,262799.0,2084.0,217246.0,79049.0,34462.0,5470.0,0.933,1335.918,1.808,1424.96,769.203,7351.375,7.601,,,,,544.833,826.468,0.344,,6133.066,,0.189,50.584,0.161,1.753,1.883,0.008,,0.505,0.015,0.332,0.123,0.024,0.191,2.203,0.055,0.931,374.975,1631.522,1112.901,,232.153,,0.448,0.348,,,,0.301,670.467,0.877,0.516,0.361,0.016,9.843,1.037,8.565,3.636,8.612,0.131,0.016,0.827,221.94,0.034,0.736,0.221,0.0,0.0,1.246,0.0,0.0,1
Viet Nam,3355,Khanh Hoa,2002,103066.701,0.0,69807.628,3029.48,4618.694,10930.43,0.891,796.919,1.605,1050.497,516.882,2964.803,5.466,3978.843,,,,474.238,857.403,0.179,,6271.415,,0.231,51.942,0.241,2.28,2.183,,0.017,0.409,0.07,0.372,0.096,0.054,0.302,0.974,0.116,,134.02,,414.122,,235.382,,0.606,0.549,,,,0.029,751.021,0.667,0.344,0.311,0.122,2.777,0.902,7.809,4.463,6.232,0.045,0.056,0.677,303.296,0.106,0.009,0.092,0.0,0.0,0.873,0.0,0.0,1
